SKU,Product Name,Brand,Well Crafted Bottles
RIO1080,Naúm,Veiga,3293
RIO1044,GAR,Viore GAR,129
CAL1396,Grand Cuvee (WINE CLUB ONLY),Alchemy,479
CAL1398,Grenach (WINE CLUB ONLY),Alchemy,276
CAL1397,Sauvginon Blanc (WINE CLUB ONLY),Alchemy,276
SPA1249,Rose,Costa del Maresme,22
FRA1071,iCI,Domaine du Joncier,22
ORO1059,Le Petit Pinot Noir,Phelps Creek,418
SPA1369,Bobal Dulce (World Market Only),Vicente Gandia,120
SPA1371,El Miracle Red (World Market Only),Vicente Gandia,168
SPA1370,El Miracle White (World Market Only),Vicente Gandia,168