customerName,invoiceCount,totalValue
"Noble Hill Wines Pty. Ltd.",238,2156001.70
"Rodeo Brooklyn LLC",6,141329.00
"Emmett's on Grove",8,126772.00
"Acker Merrall & Condit Co. Inc.",8,82233.00
"Metta Platamata LLC",7,58985.00
"Entre Deux Mers LLC",5,58417.00
"Lei Wine",5,58223.00
"Plus de Vin",2,57864.00
"Greenings Fine Foods LLC",4,57189.00
"Fanou Inc.",6,57006.00
"Wine-O",3,56986.00
"The New York Athletic Club City House",4,50717.00
"Larchmont Yacht Club",3,50713.00
"Mister Wright Fine Wines & Spirits",3,49607.00
"She Said NYC LLC",3,31918.00
"Cachette LLC",4,30804.00
"Big Tiny",5,29941.00
"BH-76 Forsyth LLC",3,29938.00
"Moonflower",3,29936.00
"Rolo's",3,29933.00
"Four Hands LLC",3,29929.83
"Pizzeria Panina",7,29921.17
"Dimes",2,29921.00
"Wild Wines",1,29917.00
"Green Canoe Hospitality, LLC",1,29897.00
"Duke’s",1,29841.00
"F - C LLC",3,29803.25
"Rude Mouth BK LLC",7,29186.67
"Penn Cellars Wine & Spirits",3,29174.00
"Fradei",4,29069.58
"Bar Pitti",1,28720.00
"Crane Club Restaurant",2,28686.00
"Kily Import",1,28490.00
"MYS WINES INC",1,28488.00
"Lovebirds Wine Bar",1,28488.00
"Carylou LLC",5,28457.00
"Train Design LLC",5,28361.00
"We Love to Drink LLC",1,28014.00
"Brooklyn Wine Exchange",3,27888.00
"Perry St",1,27412.00
"Carmella's Wine bar",1,27406.00
"LaRina Pastificio & Vino",1,27273.00
"Paradise Wines",1,27108.00
"Park Place Wines & Liquors East Hampton",1,27103.00
"French 37 LLC",3,26780.00
"WINDY GATES SOHO INC",1,26502.00
"Urban Wines and Spirits",4,26433.00
"Bande a Part LLC",3,26141.00
"Quality Rockets Inc",2,26137.00
"Ruby Wines - Massachusetts",2,26038.00
"George Marcel LLC",4,25685.25
"Drink Puritan LLC",17,25449.00
"Due West 1",2,25443.00
"Caraluzzi’s Wine & Spirits Wilton",2,25425.00
"Greca Mediterranean Kitchen & Bar",1,25419.00
"Caraluzzi’s Wine & Spirits Bethel",3,25412.50
"Citarella Wine and Spirits",7,25392.00
"Siwanoy Country Club",5,25391.00
"Kindred Spirits & Wine Monroe",3,25360.00
"ABM JG GREENWICH LLC",3,25359.00
"W4TH BUILDING SOCIETY LLC",1,24497.00
"Kings County Wines",7,24365.50
"LFG Pizza LLC",1,24216.00
"Premium Wine & Spirits LLC",1,24170.00
"Pastabilities",2,24127.00
"Noble Hill Vineyards Pty. Ltd.",18,24120.20
"Kindred Spirits & Wine Fairfield",9,23682.00
"Meeting House Princeton",2,23663.00
"IL Villaggio",1,23572.00
"Canopy Productions LLC",2,23480.00
"Eleven Madison Park",1,23272.00
"Ancona's Branchville",7,21651.00
"Trapizzino LES LLC",1,21633.00
"A-B LLC",7,20484.00
"Simple Simon",1,15921.00
"Patsy's Bistro LLC",1,14819.00
"Clos & Monopole",5,14455.00
"Jeffrey Alpert Selections",4,11564.00
"Caraluzzi’s Wine & Spirits Danbury Fairgrounds",2,10620.00
"Bouquet BK LLC",2,10619.00
"Stelle Wine Co.",3,8920.00
"Soil Expedition Co.",3,8673.00
"Steven Graf LLC",3,8673.00
"Sotto Il Sole Signature Products",2,6276.00
"Amuninni",2,5782.00
"Planet Wine",7,5634.27
"Aaron Pas",1,3369.00
"Jill Salmon",1,3369.00
"Pierre Lefebvre",1,3369.00
"Teri Wiedeman Rouse",1,3369.00
"Well Crafted Wine & Beverage Co.",2,3172.00
"CW Distributing Inc",2,2895.00
"Bom Dia Bubbles",1,2891.00
"Broadbent Selections",1,2891.00
"Crazy Beautiful Wines LLC",1,2891.00
"Flower Alley",1,2891.00
"LQK Companies LLC",1,2891.00
"Lo Secco LLC",1,2891.00
"North American Beverage Selections",1,2891.00
"Palinkerie",1,2891.00
"Venture Studios",1,2891.00
"Vino Navigato",1,2891.00
"Vins De Lieu",1,2891.00
"D-I Wine",1,2891.00
"Theodore Chestnut",3,2350.33
"Jonathan Blazek",2,2348.33
"Vanessa Vega",2,2348.33
"Andrew Brunner",2,2348.33
"Cristina Valverde",2,2348.33
"Erica Birmingham",2,2348.33
"Jennifer Rugani",2,2348.33
"Mark Giangreco",2,2348.33
"Michael Waite",2,2348.33
"Robert Williams",2,2348.33
"Roy Moran",2,2348.33
"Sandra Gurowitz",2,2348.33
"Sheila Kassner",2,2348.33
"Timothy McGinn",2,2348.33
"Timothy Pittman",2,2348.33
"Paul Thompson",2,2348.25
"Dianne Barclay",2,2347.83
"Kate Aufdenkamp",2,2347.83
"Minerva Muzquiz",2,2347.83
"Angela Wu",2,2347.83
"Benjamin Robbins",2,2347.83
"Evan Gaston",2,2347.83
"Marguerite Wincek",2,2347.83
"Paul Soper",2,2347.83
"Robert Pinkas",2,2347.83
"Davin Milun",2,2347.67
"La Compagnie Centre Street",3,1991.58
"Bon Vivant Wine",2,1416.96
"Vinicola Wine Bar",1,855.72
"Wine Outlet Vienna",1,719.64
"Quadrant",1,540.00
"Vineyard Fare",1,439.92
"Bread and bowl inc.",2,399.96
"BB at 55th & 5th LLC",1,324.00
"Greed Island LLC",1,324.00
"RIO-Well Crafted Wine & Beverage Co.",4,200.83
"Antares Inc",5,137.67
"Utah DABS",5,112.00
"Nada Wine",1,111.75
"Maverick Beverage Minnesota",2,110.00
"Horseneck Wine & Spirits",4,91.67
"Princeton Corkscrew Wine Shop",3,80.00
"Le Garrec NYC",6,78.17
"Chausse Selections",1,75.17
"Selectuion Sauvage",1,69.50
"Solera Beverage Group New Mexico",3,69.33
"CSEN Inc.",9,65.17
"Lieu Dit Distribution",2,65.09
"International Wines",4,64.42
"Armonk Wine Holdings Inc.",5,60.67
"DF Rosati",2,54.42
"The Wine Store",6,53.17
"Air Guitar, LLC",1,51.67
"International Cellars",1,49.33
"Somm Cellars Wine & Spirits",5,46.75
"Dylans Wine Cellar",7,46.00
"GV Samples - Marquis Williams",8,42.41
"David Bowler LLC",2,41.50
"Eagle Eye Brands",1,41.50
"Natural Wine Company",1,41.25
"Thirst Wine Merchants",8,41.00
"You and Me Wines & Liquors",6,38.50
"Vinport LLC",2,38.00
"Goldman Sachs / Aramark",1,36.00
"Wine Stop Spirits",6,35.17
"Cherry on Top LLC",5,34.00
"Le Bernardin",4,34.00
"G And C Wines LLC",4,33.84
"Crown Shy",8,33.59
"Melody's Piano Bar",6,33.00
"Carmine Fine Foods LLC",5,33.00
"Amuninni LLC",5,33.00
"NRK Cafe",3,32.00
"Eastdale LLC",3,30.83
"Sweetwater",6,30.25
"4Zip Square Corp",1,30.00
"Golden Vines samples",7,29.83
"Hef's Hut Bar and Grill",3,29.00
"Kelly samples",1,29.00
"Point Seven",4,27.83
"Disco Liquids",2,27.50
"Crown Heights 2020 LLC",3,27.00
"The Grapevine At King's Corner LLC",4,26.50
"Peasant",4,26.16
"Fountainhead Wines",10,26.00
"Steklen and Walker",3,26.00
"Grapes on Van LLC",4,25.50
"6th Tot, LLC",3,25.25
"Lassoni Restaurant",1,25.00
"central",2,25.00
"293 Green Wine LLC",5,24.42
"Cool Wines and Spirits",3,24.00
"Canopy samples",10,24.00
"Wholesome Wine LLC",1,24.00
"Funk and Fermentation",1,24.00
"Wine Therapy",5,23.50
"Steven Graf Office - Samples",10,23.33
"1616 2nd Ave Restaurant Corp",3,23.00
"Cloche Wine Co",1,22.75
"Colors",5,22.17
"Manleys Wine & Spirits",3,22.00
"The Modern",3,22.00
"Scarr Pizza",2,21.00
"Penny",4,20.92
"The East Pole",4,20.83
"Marea",6,20.51
"Frog Winebar LLC",2,20.50
"Peter Brunet samples",11,20.08
"Lone Star Wine and Spirits, LLC",1,20.00
"Roscioli",2,20.00
"Pivco LLC",4,19.75
"Third Leaf Ventures LLC",6,19.16
"Sample Account - 38 Actors Colony Road",1,19.08
"Eli's Table",2,19.08
"Le Caviste",3,19.00
"El Hefé",4,19.00
"Ancona's Wilton",5,18.00
"Cheese and Wine Hoboken",3,18.00
"Flora and Jasper inc",4,18.00
"Direct Import Wines Inc. [samples] Brett",3,17.17
"ODO",2,17.08
"Eastside Cellars",3,17.00
"Caraluzzi’s Wine & Spirits Danbury",4,17.00
"St Jardim",4,16.00
"Five Oclock Forever LLC",2,16.00
"61 Hester LLC",3,16.00
"Frankly Wines",2,16.00
"174 West 72nd Cafe LLC",2,16.00
"Atlas Wine Merchants",3,15.33
"Regiis Ova Bar & Lounge",2,15.00
"Mission Fine Wines",3,15.00
"Harbor Point Wines",4,15.00
"Samples Account LQK",2,15.00
"Rush Wines",1,15.00
"The Winery NYC",1,15.00
"White Walker LLC",7,14.75
"Crevette",5,14.50
"Little Calf LLC",7,14.33
"Rezdora",2,14.33
"BabySips",3,14.25
"Calf & Bull Inc.",5,14.17
"299 Hospitality LLC",3,14.08
"Elvis",3,14.00
"Perriellos Cantina LLC",2,14.00
"Folkways Croton Falls llc",3,14.00
"Square Wine & Spirits",3,14.00
"Depanneur",2,14.00
"Nightmoves Bar LLC",4,14.00
"The Four Horsemen",4,13.75
"Soil Expedition Co Samples",5,13.66
"Libation Project",2,13.59
"Popina Wine Cellar",1,13.50
"JAMES A YAEGER INC",3,13.25
"Steel Wheel Tavern",4,13.00
"Astoria Wine and Spirits",1,13.00
"Suburban Wine & Spirits",1,13.00
"ONA Wine & Sprits Inc",2,13.00
"Isle of Capri",1,13.00
"243 Dekalb Ave Rest. Corp",2,13.00
"Smith and Vine",2,13.00
"The Inn at Pound Ridge by Jean-Georges",2,13.00
"All Star Wine and Liquor",1,13.00
"SUZYS RENDEZVOUS LLC",3,12.25
"GV Samples - Tyler Gambino",6,12.08
"Kinchley's Tavern",4,12.00
"Double Chicken Please",2,12.00
"Kindred Spirits & Wine Westport",4,12.00
"Rooseter Group LLC",3,12.00
"De Wine Spot",2,12.00
"Zimmi's New York",4,12.00
"Terroir - Tribeca",4,12.00
"Massawa Foods alc",3,12.00
"Taste 56",2,12.00
"The Clocktower",1,12.00
"H Wine & Spirits Inc.",2,12.00
"Misi Domino LLC",3,12.00
"Johnson Wine Group",3,12.00
"La Cantine",1,12.00
"Skin Contact LLLC",4,12.00
"Bluebird Wine LLC",1,12.00
"GV Samples - John Livingston",5,11.42
"Universal Discount Package Store",2,11.33
"Sushi Nakazawa",2,11.17
"W Hotel Times Square",1,11.00
"Woodfire Collision LLC",3,11.00
"Bernardsville Wine Co. LLC",2,11.00
"Gary's Wine & Market Place",2,11.00
"Oxalis Food LLC",3,10.67
"Wines To Go",2,10.50
"VSI Samples",3,10.50
"Grassroots Wine Wholesalers LLC",1,10.33
"Franklin Wine and Spirits Inc.",3,10.33
"Mt. Carmel Wines",3,10.16
"The Cookery Restaurant",3,10.00
"The Gilded Grape",3,10.00
"Upland",1,10.00
"Diner",3,10.00
"Lord's",3,10.00
"Bahr's Landing Restaurant & Marina",1,10.00
"Hanover Ventures Marketplace LLC",1,10.00
"Rennaissance Beverages II LLC",1,10.00
"Bar Oliver",1,10.00
"Ritz Carlton Nomad",1,10.00
"One Hanover LLC",2,10.00
"Polo Bar Ralph Lauren",2,10.00
"LIQUIDERIE INC",1,9.67
"Verdugo Vista LLC",3,9.50
"Riley Hunt",2,9.25
"Graham Wine Co.",1,9.00
"D.Vino",2,9.00
"Flatiron Wines NYC",2,9.00
"Hot Chicken LLC",1,9.00
"Ordinem Ecentrici Coctores",2,9.00
"Flowercup Wine",3,9.00
"Convive Wine and Spirits",2,9.00
"1259 Park LLC",1,9.00
"Chef Driven Hospitality",2,9.00
"Jeff Hansen Samples",3,8.75
"Granada Wines and Spirits",2,8.58
"Magic 5 Pie Co.",4,8.00
"Doppio",4,8.00
"Black Cat Wines",3,8.00
"Le Gratin",1,8.00
"Maywood Market",1,8.00
"1996 Corp.",1,8.00
"Domino Wine LLC",2,8.00
"Ten Thousand A.D. LLC",2,8.00
"Supernatural Wine Inc",1,8.00
"The Core Club",2,8.00
"Salvo's Cucina Casalinga",1,8.00
"Horse with No Name",1,8.00
"Fuzi Pasta Co.",1,8.00
"TORTILLAS AND CAVIAR LLC",3,7.67
"Gary's Wine & Marketplace - Closter",2,7.59
"Le Chene",2,7.58
"Hearth",1,7.17
"Fiorino Ristorante & Bar",2,7.00
"Greens Farms Spirit Shop",2,7.00
"Per Se",2,7.00
"Saker Enterprises Management Company Inc",1,7.00
"Midwood Wine Merchants LLC",1,7.00
"Eataly Wine LLC",1,7.00
"Whoopsie Daisy",1,7.00
"Le French Diner",1,7.00
"Press Club Grill",1,7.00
"Palladino's NYC Steak and Seafood",1,7.00
"Racines NYC LLC",4,6.92
"Gather Inc.",2,6.67
"IL VIGNETTO CORP",1,6.42
"Manchester Wine and Liquor",1,6.33
"Popina",2,6.33
"Anton's",2,6.25
"ZZs club New York",2,6.17
"GV Samples - Mike Hoffmann",2,6.16
"Little West Wine and Spirits",1,6.00
"Botanicus Greenpoint, INC",1,6.00
"Fort Greene Wines",2,6.00
"Total Wine & More Norwalk",1,6.00
"Chez Fifi",2,6.00
"Redding Wine & Spirits",2,6.00
"Grain & Vine",2,6.00
"CT Beverage Mart Newington",2,6.00
"Morimoto",1,6.00
"Nippon Naturals LLC",1,6.00
"Pitt's Red Hook LLC",1,6.00
"56 Degrees Wine",1,6.00
"Gran Morsi",1,6.00
"Vintegrity Missouri",1,6.00
"The Noortwyck",1,6.00
"Manhatta",1,6.00
"La Bastide by Andrea Calstier",1,6.00
"Shukette",1,6.00
"CT Beverage Mart Wallingford",1,6.00
"ANTONIO SAMPLES NF",1,6.00
"MISIPASTA",1,6.00
"Sea Grape Wines",2,6.00
"Fulgurances NYC LLC",1,6.00
"CWD Samples- Joe",1,6.00
"Slapthecook LLC",2,6.00
"La Compagnie Flatiron",1,6.00
"Nuyores",2,6.00
"Tribeca Wine Merchants",2,6.00
"Royal Wine Merchants Ltd",1,6.00
"42-44 East Broadway Restaurant Inc",1,6.00
"157 REST LLC",1,6.00
"Juliette Restaurant",1,6.00
"H. J. G. Liquor Inc",1,6.00
"Crossroads Package Store",1,6.00
"City Supermarket",1,6.00
"Broadway Desserts, LTD",1,6.00
"Cafe D'Alsace",1,6.00
"Fig and Grape",1,6.00
"Marseille",1,6.00
"Lucky's Steakhouse",1,6.00
"Long Hill Liquors",2,5.83
"Rhodora Wine Bar",1,5.50
"SHMONÉ",1,5.50
"Jupiter WInes LLC",2,5.25
"Chipandtinanyc LLC",2,5.25
"Le Crocodile 80 Wythe LLC",1,5.25
"CWD Samples Tara",3,5.09
"Ancona's Ridgefield",2,5.00
"284 Via Grande LLC",1,5.00
"BB KITCHEN LLC",1,5.00
"The Study Fine Wines",2,5.00
"The three Lenox brothers corp",1,5.00
"448 Franklin Avenue LLC",1,5.00
"Tourmaline",1,5.00
"Liquor Locker of Westport",1,5.00
"Vine Box",1,5.00
"Dash of Salt Catering",2,5.00
"Paradise Liquors",1,5.00
"Wine Hut Corp",1,5.00
"Pinkerton Wine Bar LLC",1,5.00
"SECRET SUMMER HOSPITALITY GROUP LLC",2,5.00
"Big Gary's Discount Liquors",1,5.00
"Scalini Fedeli",1,5.00
"205 Thompson St. LLC",1,5.00
"Mistral",1,5.00
"Gus’s",1,5.00
"Just Adventure INC La Vid Wines & Spirits",1,5.00
"Cafe Cluny",1,5.00
"Vinegar Hill House Inc.",1,5.00
"Buddakan",1,5.00
"Bistrotier LLC",1,5.00
"Legacy Wine and Spirits",1,5.00
"Spirits of Cairo",1,5.00
"Navesink Country Club",1,5.00
"Hawthorne Liquors",1,5.00
"WildAir Cuatro Lobos Inc",1,5.00
"Art of Wine",1,5.00
"NODA",1,5.00
"Born to Lose LLC",1,5.00
"Windsor Wine Merchants",1,5.00
"Some Good Wine",2,5.00
"JFW LLC",2,4.67
"Wine Thief Madison",1,4.50
"CQDQ Flatiron New York, LLC",3,4.33
"Sarah Moran",2,4.33
"Sample Account - 59 Howard Street",1,4.33
"Sullaluna NYC",2,4.00
"Community Wine",1,4.00
"Wine.com",2,4.00
"Heuristic Analytic Services CC",4,4.00
"The River",1,4.00
"Whole Foods Wine Store Manhattan",1,4.00
"West Harlem Vines Inc.",1,4.00
"Little Mo Wine Inc.",1,4.00
"Hamilton Farm Golf Club",1,4.00
"Agora Beacon LLC",1,4.00
"Colonia Verde",1,4.00
"Georgia Room / Bar Calico",1,4.00
"Avenue A Pizza, LLC",1,4.00
"The Dublin Yard",1,4.00
"East Village Wine Corp.",1,4.00
"Red, White, & Green Wine",1,4.00
"The Whitlock",1,4.00
"Stew Leonard's Wine and Spirits-Danbury",2,4.00
"HRLM Champagne",1,4.00
"The Yard Haledon",1,4.00
"Crow and Chick LLC",1,4.00
"Birds",1,4.00
"Aunts et Uncles",1,4.00
"Minetta Tavern",1,4.00
"Woodhul Wine Bar",1,4.00
"Digesteve Gastronomic Spirits & Wine LLC",1,4.00
"Hirohisa",1,4.00
"Gallaghers Steakhouse",2,4.00
"Beer Karma, LLC",1,4.00
"4F Sur Montaigu LLC",1,4.00
"Jojo Restaurant",1,4.00
"Wolf on Broadway LLC",1,4.00
"Cornwall Package",1,4.00
"BARBUTO RESTAURANT",1,4.00
"Playground Coffee Shop Inc.",1,4.00
"El Vino Crudo",1,4.00
"Why Nose LLC",1,4.00
"Mid Valley Wine & Liquor",1,4.00
"Southbridge Wines & Spirits",1,4.00
"Cecily",1,4.00
"Julian Castaybert - Samples",1,3.75
"LibCorp LLC",1,3.67
"Double Deep LLC",1,3.50
"A24 Commerce St LLC and Galactus Group LLC as",2,3.25
"Pier Wines Corp.",2,3.17
"Lillie Wolff Inc.",1,3.17
"The Pluckemin Inn",1,3.08
"Gramercy Wine & Spirits",1,3.00
"Village Wines",1,3.00
"Kingston Bistro LLC",1,3.00
"Avon Wine and Spirits",2,3.00
"Aretsky's Patroon",1,3.00
"Bar Bianchi",1,3.00
"Court Liquors",1,3.00
"Central Perk Wine & Spirits",1,3.00
"Spring Lake Golf Club",1,3.00
"Springs Wine & Spirits",1,3.00
"Disco Bottles",1,3.00
"Sandy Hook Wine and Liquor",1,3.00
"Dae New York LLC",1,3.00
"Old Greenwich Wine Merchants",1,3.00
"Mamo",1,3.00
"Maria Bonita Salon",2,3.00
"Churrascaria Brazerio North Bergen",1,3.00
"Trattoria Tre Colori Inc",1,3.00
"Barrel & Brew Bar and Liquor",1,3.00
"Churrascaria Brazerio Cliffside Park",1,3.00
"Wine Tasters of Larchmont",1,3.00
"Grande Cellars Inc.",1,3.00
"Tria, Rittenhouse Square",1,3.00
"My Loup",1,3.00
"Chez Margaux",1,3.00
"San Vicente West Village",1,3.00
"Neon Sky LLC",1,3.00
"Embassy Liquor dba New Embassy Wine",1,3.00
"Beacon Diner",1,3.00
"Cree Wine Company",1,3.00
"354 Steakhouse",1,3.00
"WWPalmetto LLC",1,3.00
"Sauced Rooster LLC",1,3.00
"The Alps",1,3.00
"Untable",1,3.00
"Leo",1,3.00
"Southdown Coffee LLC",1,3.00
"Bodega Wines and Spirits",1,3.00
"Madd Hatter",1,3.00
"Binx",1,3.00
"The Grill",1,3.00
"Death Ave Wines",1,3.00
"Wine Dad's",1,3.00
"Shellbi and Co. LLC",1,3.00
"Lama Spiral 66th Floor LLC",1,3.00
"JMB Harlem",1,3.00
"Blue Angel Wines",1,2.67
"French Laundry",1,2.50
"GV Samples - David Seal",3,2.50
"Cellar 36",1,2.50
"Perry Street Restaurant",1,2.50
"Steak Frites",1,2.50
"Luthun",1,2.25
"Fantasma LLC | Cork & Fork",1,2.17
"Glen Liquors Incorporated",1,2.17
"Venerdi INC",1,2.00
"Sara Morano",1,2.00
"East Harlem Bottling Co LLC",1,2.00
"Jasmine Monet",2,2.00
"Luca Zocche",1,2.00
"Bob's Centerbrook Package Store",1,2.00
"River Cliff Wines and Spirits",1,2.00
"Westchester Wine Warehouse",1,2.00
"Cost Cutters Plainfield",1,2.00
"Mitsuru",1,2.00
"The Spread South Norwalk",2,2.00
"Stockton Inn",1,2.00
"Harry's Wine & Liquor Market",1,2.00
"American Sake Group Inc",2,2.00
"Musket Room",1,2.00
"Zahav",1,2.00
"Abrahamson",1,2.00
"Total Wine & More Milford",1,2.00
"Warehouse Wines and Liquor",2,2.00
"RECEPTION BAR INC",1,2.00
"FoodexBrooklynLLC",1,2.00
"Total Wine and More- Brookfield",1,2.00
"Slope Cellars",1,2.00
"Trattoria Vivolo",1,2.00
"Main St. Wine and Liquor",1,2.00
"The Wise Old Dog",1,2.00
"Luc’s",1,2.00
"TKM 228 EAST 10TH ST LLC",1,2.00
"Witherspoon Wine & Spirits",3,1.83
"Harry's Discount Liquors",1,1.67
"Rock 45 SW Bistro, L.L.C. & 45 Rock Center, L.L.C.",1,1.58
"Million Goods LLC",1,1.50
"K2R2 Logistics",1,1.42
"Cost Cutters Dayville",1,1.33
"Windsor Court Wine and Spirits",1,1.33
"5 Kings Liquor",1,1.33
"Noreetuh",1,1.33
"OLD MILL OPS LLC",1,1.25
"L'Abeille",3,1.17
"Yara Salon",1,1.00
"Race Lane Liquors",1,1.00
"Sossego Modern Brazilian Design",1,1.00
"Handcrafted - Nebraska",1,1.00
"Mozzarella Holdings LLC",1,1.00
"Lost Vines",1,1.00
"Phoenix Hospitality Llc",1,1.00
"Om Nityanand LLC",1,1.00
"North Street Wine and Liquor",1,1.00
"JG Dumbo LLC",1,1.00
"Daniel Hampton",1,1.00
"Berkeley & Stuart Wine Company",1,1.00
"Entre Amis",1,1.00
"Saint Urban",1,1.00
"Hunt & Fish Club",1,1.00
"Stew Leonard's Wines and Spirits Newington",1,1.00
"Fairway Liquor Mart",1,1.00
"TS Pizza Restaurant Inc",1,1.00
"Ernest Muzquiz",1,1.00
"Susan or Chad McCord",1,0.75
"The Wine Thief- Whitney Ave",1,0.67
"Clos & Monopole Samples",1,0.58
"The Liquor Mart Wallingford",1,0.50
"Killingly Discount Liquors",1,0.50
"Hazelton Wine and Spirits",1,0.50
"Aszu Wine & Spirits",1,0.42
"Babbo LLC",1,0.42
"Rosa-Anna Winchell Samples",8,0.25
"Chez Ma Tante Samples",1,0.17
"Veritas Distributors, Inc.",1,0.17
"Angela Fultz Samples",7,0.00
"Blue Hill at Stone Barns",1,0.00
"Samples to Customers",73,0.00
"Jared Lorenz Samples",11,0.00
"Maison Brondeau",1,0.00
"Travis Vernon Samples",1,0.00
"Crane Club Lounge",1,0.00
"JAS Samples",1,0.00
"A Perfect U",1,0.00
"Samples (Replacement Bottles)",1,0.00
"Test Retailer",2,0.00